ano,m̻s,id_vendedor,valor_meta
2025,1,102,15083.964
2025,2,102,7387.71
2025,3,102,23031.84
2025,4,102,1501.5
2025,5,102,137191.671
2025,6,102,407232.5
2025,7,102,1258515.78
2025,8,102,2073136.28
2025,9,102,2735678.76
2025,10,102,2847507.468
2025,11,102,2320489.953
2025,12,102,2280401.046
2026,1,102,1264475.079
2025,1,125,2011149.504
2025,2,125,1871123.076
2025,3,125,2137582.72
2025,4,125,1615965.75
2025,5,125,2022034.941
2025,6,125,1701407.34
2025,7,125,2170414.14
2025,8,125,2336689.6
2025,9,125,2140798.44
2025,10,125,2636058.666
2025,11,125,1898091.021
2025,12,125,1586639.07
2026,1,125,1296878.184
2025,1,144,1899786.924
2025,2,144,1608032.52
2025,3,144,1737415.68
2025,4,144,1368939.6
2025,5,144,1798196.004
2025,6,144,1412350.78
2025,7,144,1938346.8
2025,8,144,2127853.28
2025,9,144,2392708.86
2025,10,144,2205044.886
2025,11,144,2283003.474
2025,12,144,1915990.848
2026,1,144,1257653.88
2025,1,183,758793.861
2025,2,183,356399.205
2025,3,183,505692.72
2025,4,183,514997.7
2025,5,183,502368.129
2025,6,183,298662.04
2025,7,183,212276.28
2025,8,183,42249.16
2025,11,183,204840.021
2025,12,183,256916.988
2026,1,183,340696.881
2025,8,194,63577.52
2025,9,194,977855.64
2025,10,194,1263664.27
2025,11,194,1965237.57
2025,12,194,2141559.972
2026,1,194,1302432.39
2025,1,196,1176829.794
2025,2,196,971839.488
2025,3,196,1285546.08
2025,4,196,1531806.15
2025,5,196,1357525.116
2025,6,196,1436287.4
2025,7,196,1606192.98
2025,8,196,1343395.04
2025,9,196,1412538.84
2025,10,196,1399795.112
2025,11,196,1424700.351
2025,12,196,1231385.922
2026,1,196,615868.911
2025,1,215,3289605.417
2025,2,215,2771133.324
2025,3,215,3338088
2025,4,215,3320777.25
2025,5,215,3612425.958
2025,6,215,3565059.06
2025,7,215,3666345.12
2025,8,215,4192784.08
2025,9,215,4435428.18
2025,10,215,3978163.018
2025,11,215,3462681.822
2025,12,215,2914767.504
2026,1,215,1821644.622
2025,1,265,3158405.775
2025,2,265,2663012.922
2025,3,265,3377931.44
2025,4,265,3206904.75
2025,5,265,3231869.895
2025,6,265,2269978.94
2025,7,265,3268327.86
2025,8,265,3843370.84
2025,9,265,3509284.5
2025,10,265,3437167.964
2025,11,265,2962686.39
2025,12,265,2603224.008
2026,1,265,1420094.592
2025,5,285,281429.289
2025,6,285,675402.02
2025,7,285,1524903.06
2025,8,285,2260771.2
2025,9,285,2788948.26
2025,10,285,2538026.526
2025,11,285,2403350.01
2025,12,285,2460257.442
2026,1,285,1189812.456
2025,5,326,264914.82
2025,6,326,968369.16
2025,7,326,2253435
2025,8,326,2759307.24
2025,9,326,3063311.94
2025,10,326,2659998.128
2025,11,326,2677991.334
2025,12,326,2539788.372
2026,1,326,1440846.288
2025,11,660,32848.896
2025,12,660,59953.662
2026,1,660,134712.522
2025,1,669,435989.106
2025,2,669,551196.933
2025,3,669,521834.56
2025,4,669,495694.5
2025,5,669,555660.783
2025,6,669,406594.54
2025,7,669,503969.76
2025,8,669,434799.36
2025,9,669,476156.4
2025,10,669,671246.65
2025,11,669,577565.055
2025,12,669,504927.54
2026,1,669,507567.249